step,Z_block_0,Z_block_1
1,0.641643,0.655800
2,0.643594,0.649722
3,0.657782,0.630729
4,0.646377,0.652389
5,0.660980,0.658334
6,0.618153,0.631440
7,0.637434,0.638939
8,0.629013,0.660519
9,0.624587,0.653919
10,0.636021,0.653437
11,0.652303,0.665861
