step,Z_block_0,Z_block_1
1,4.623085,4.353264
2,4.369516,4.216523
3,3.937926,3.881004
4,4.116344,4.018455
5,4.305319,4.151851
6,4.565824,4.009512
7,4.467515,4.409210
8,4.348750,4.547539
9,4.668017,4.078862
10,3.639794,4.122043
11,4.019379,4.553144
