step,Z_block_0,Z_block_1
1,-6.782017,-6.774701
2,-6.758709,-6.770948
3,-6.701697,-6.680712
4,-6.679632,-6.661217
5,-6.680108,-6.662614
6,-6.744693,-6.707407
7,-6.762415,-6.719964
8,-6.783105,-6.733802
9,-6.725622,-6.687857
10,-6.728978,-6.702193
11,-6.696320,-6.673656
