step,Z_block_0,Z_block_1
1,-0.881044,-1.056910
2,-0.934337,-1.063257
3,-0.992937,-1.137874
4,-0.959892,-1.098330
5,-1.024340,-1.155256
6,-1.051281,-1.150771
7,-1.046079,-1.578590
8,-1.048179,-1.102338
9,-1.053336,-1.100432
10,-1.011566,-1.053000
11,-1.124127,-1.309098
