iteration,num_pairs,num_points,base_ce_nats,expected_ce_after_extra,expected_ce_after_std,mi_increment_nats,mi_cumulative_nats,base_miou,expected_miou_after_extra,temperature
46,47,94,0.050790976732969284,0.05342552647925913,0.002215374828112233,-0.0026345497462898493,-0.07134113681968302,0.8554602142514524,0.8502647898548589,1.0
47,48,96,0.04515416547656059,0.048309235367923975,0.0020133290008385544,-0.0031550698913633823,-0.0744962067110464,0.8688129535362288,0.8612860020894548,1.0
48,49,98,0.04594019427895546,0.048223641933873296,0.002320021402438048,-0.002283447654917836,-0.07677965436596423,0.8654872984197185,0.8601850973591068,1.0
49,50,100,0.049577679485082626,0.051297958474606276,0.002129807059811629,-0.0017202789895236492,-0.07849993335548788,0.8580057193254403,0.8538068268825888,1.0
50,51,102,0.05299847200512886,0.05542353983037174,0.0020213801977620447,-0.002425067825242877,-0.08092500118073076,0.8507684154742978,0.8446514832158418,1.0
51,52,104,0.05602749064564705,0.05991779058240354,0.0027582853909939586,-0.0038902999367564917,-0.08481530111748725,0.8438592341454441,0.8314533968944025,1.0
52,53,106,0.060323573648929596,0.06277428125031292,0.0023254626127865888,-0.0024507076013833284,-0.08726600871887058,0.8317234235400751,0.8237666709353497,1.0
53,54,108,0.0629163384437561,0.06486534746363759,0.0025535794172757338,-0.001949009019881487,-0.08921501773875207,0.8234223612036705,0.8174297999563397,1.0
54,55,110,0.06720282882452011,0.07068587280809879,0.0032194901766299158,-0.003483043983578682,-0.09269806172233075,0.8098898606245432,0.7998940897228826,1.0
55,56,112,0.0705985426902771,0.07393816858530045,0.002954508964273281,-0.003339625895023346,-0.0960376876173541,0.7992340404366964,0.7896781393598167,1.0
56,57,114,0.07461543381214142,0.07674124604091048,0.002451702321026331,-0.002125812228769064,-0.09816349984612316,0.7875098000784007,0.7819091520258512,1.0
57,58,116,0.07599154114723206,0.07809992926195264,0.002147923153623489,-0.002108388114720583,-0.10027188796084374,0.7829793452844894,0.7773208946612279,1.0
58,59,118,0.07719383388757706,0.08062919229269028,0.002434148827157296,-0.00343535840511322,-0.10370724636595696,0.7793942920879707,0.7699578629106884,1.0
59,60,120,0.08255796134471893,0.08484240947291255,0.003567165203111669,-0.002284448128193617,-0.10599169449415058,0.767249815031385,0.7613302807167628,1.0
60,61,122,0.08477006107568741,0.08644782938063145,0.003361179921001585,-0.0016777683049440384,-0.10766946279909462,0.7616170232932868,0.757527861691364,1.0
61,62,124,0.08422812819480896,0.0870328163728118,0.001658366466341149,-0.0028046881780028343,-0.11047415097709745,0.7632822705141907,0.7556116258713763,1.0
62,63,126,0.09391286969184875,0.09590187110006809,0.0031885399262994722,-0.0019890014082193375,-0.11246315238531679,0.7377203452074917,0.7323355814514656,1.0
63,64,128,0.09427222609519958,0.09685447439551353,0.0029151923754737645,-0.0025822483003139496,-0.11504540068563074,0.7363453079178885,0.7296712761446706,1.0
64,65,130,0.09581877291202545,0.09863628447055817,0.002718260891481806,-0.002817511558532715,-0.11786291224416345,0.7321973666226251,0.7245042006922559,1.0
65,66,132,0.10027827322483063,0.10352077754214406,0.0031313500051451857,-0.0032425043173134327,-0.12110541656147689,0.7206043894456027,0.7126726459718694,1.0
66,67,134,0.10122860223054886,0.1035776399075985,0.0019973751570337567,-0.002349037677049637,-0.12345445423852652,0.7173015554216599,0.7116185065143361,1.0
67,68,136,0.10255803167819977,0.10429262090474367,0.004322982306359015,-0.0017345892265439034,-0.12518904346507043,0.7142698402115697,0.7100892846186961,1.0
68,69,138,0.10915717482566833,0.11051212949678302,0.0026336565557480264,-0.0013549546711146832,-0.1265439981361851,0.7025620846449807,0.699264043945101,1.0
69,70,140,0.10771773755550385,0.10979185346513987,0.004593963906278428,-0.0020741159096360207,-0.12861811404582113,0.7055259171441745,0.6999910244791021,1.0
70,71,142,0.11207044124603271,0.11459330376237631,0.004016680671922966,-0.0025228625163435936,-0.13114097656216472,0.6950193559549298,0.689107125167959,1.0
71,72,144,0.11578807979822159,0.11808340949937701,0.0036398156383602998,-0.002295329701155424,-0.13343630626332015,0.6857331825649122,0.6805417649876572,1.0
72,73,146,0.11610563099384308,0.1179379210807383,0.0029260309601379627,-0.0018322900868952274,-0.13526859635021538,0.6854821512346996,0.6811786220668984,1.0
73,74,148,0.11834759265184402,0.12149604456499219,0.004387973363916935,-0.0031484519131481647,-0.13841704826336354,0.6802810344097854,0.6727747809545429,1.0
74,75,150,0.12015140801668167,0.12181776016950607,0.004020392025758909,-0.0016663521528244019,-0.14008340041618794,0.6763517778245319,0.6719043306531587,1.0
75,76,152,0.11907390505075455,0.12059566099196672,0.0025288911703258807,-0.0015217559412121773,-0.14160515635740012,0.6781291533933883,0.6751980978734525,1.0
76,77,154,0.12336988747119904,0.12673081224784255,0.001885712982510185,-0.0033609247766435146,-0.14496608113404363,0.6721448584451972,0.664903009593325,1.0
77,78,156,0.11906242370605469,0.1216425378806889,0.0035058366005908813,-0.002580114174634218,-0.14754619530867785,0.6805208553885242,0.6753790854926373,1.0
78,79,158,0.11719778925180435,0.11960096983239055,0.003667971620041346,-0.002403180580586195,-0.14994937588926405,0.6825545105199465,0.6775135858422565,1.0
79,80,160,0.11931085586547852,0.12124908715486526,0.004091052070690695,-0.0019382312893867493,-0.1518876071786508,0.6782911392405063,0.6735921987591846,1.0
80,81,162,0.12645679712295532,0.12889728927984834,0.004241180736918822,-0.002440492156893015,-0.1543280993355438,0.6652253072371416,0.6595139807056833,1.0
81,82,164,0.12756966054439545,0.130016865208745,0.001914270416315242,-0.002447204664349556,-0.15677530399989337,0.662756658695473,0.6583128553963339,1.0
82,83,166,0.12777003645896912,0.12824493693187833,0.005268206086079532,-0.0004749004729092121,-0.15725020447280258,0.6622378774770321,0.6618071660177641,1.0
83,84,168,0.133895605802536,0.13523202016949654,0.0030549699388584756,-0.0013364143669605255,-0.1585866188397631,0.6507448186528497,0.6483289536060193,1.0
84,85,170,0.13342607021331787,0.13483713939785957,0.003623492203341771,-0.0014110691845417023,-0.1599976880243048,0.6532276100437125,0.6506982756167908,1.0
85,86,172,0.13745786249637604,0.13919225055724382,0.0030630596819405096,-0.0017343880608677864,-0.1617320760851726,0.6424058226025754,0.6396696013877577,1.0
86,87,174,0.1365365982055664,0.13886052276939154,0.002748231306648076,-0.0023239245638251305,-0.16405600064899772,0.6446919526389725,0.6407910093095667,1.0
87,88,176,0.13893957436084747,0.13975147809833288,0.004396617657335648,-0.0008119037374854088,-0.16486790438648313,0.64048573308608,0.6397032631402885,1.0
88,89,178,0.14171630144119263,0.14343953784555197,0.0036891431508802915,-0.0017232364043593407,-0.16659114079084247,0.6361871942645515,0.6324824627165557,1.0
89,90,180,0.14169080555438995,0.14378679357469082,0.004733379283946707,-0.002095988020300865,-0.16868712881114334,0.6355866817021781,0.6316773977443408,1.0
90,91,182,0.14356452226638794,0.1467660954222083,0.003116925254787092,-0.0032015731558203697,-0.1718887019669637,0.6327523387493845,0.6274873977477214,1.0
91,92,184,0.1451316773891449,0.14779475796967745,0.0022953236718888676,-0.002663080580532551,-0.17455178254749626,0.6305696227378008,0.6267886202679656,1.0
92,93,186,0.14673423767089844,0.14761438127607107,0.003218476557157978,-0.0008801436051726341,-0.1754319261526689,0.6280129019646173,0.6269672259949347,1.0
93,94,188,0.15340371429920197,0.15472749061882496,0.002554472449564555,-0.0013237763196229935,-0.1767557024722919,0.6188494586367664,0.6169331662440756,1.0
94,95,190,0.1568041741847992,0.16016066074371338,0.002578955252566358,-0.0033564865589141846,-0.18011218903120607,0.6144619799139168,0.6085476442374482,1.0
95,96,192,0.1564273089170456,0.1571947494521737,0.00338924786384588,-0.0007674405351281166,-0.1808796295663342,0.6155659473341255,0.6141143140233221,1.0
96,97,194,0.15962672233581543,0.16041047871112823,0.005057858049874432,-0.0007837563753128052,-0.181663385941647,0.6106886193391383,0.6097533101841546,1.0
97,98,196,0.16104267537593842,0.16236223094165325,0.0031677358327401894,-0.0013195555657148361,-0.18298294150736183,0.6076306132485908,0.6058117008082349,1.0
98,99,198,0.16594350337982178,0.16925236117094755,0.003412188359908015,-0.0033088577911257744,-0.1862917992984876,0.5970670780439753,0.5910980775367688,1.0
99,100,200,0.1719338744878769,0.17356483358889818,0.004040499141140144,-0.0016309591010212898,-0.1879227583995089,0.5852414521740714,0.582429688433381,1.0
