json,best_CE_T1,best_CE_Tstar,delta
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/034_cluster_neg_pairs20.json,0.005198120139539242,0.004704517778009176,0.0004936023615300655
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/035_edge_heavy_neg_pairs20.json,0.005228242836892605,0.004793949890881777,0.000434292946010828
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/036_uniform_pairs20.json,0.0072746253572404385,0.006652753334492445,0.0006218720227479935
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/037_boundary_band_pairs20.json,0.005404781550168991,0.004962491802871227,0.0004422897472977638
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/038_spread_poisson_pairs20.json,0.006400316953659058,0.005652751307934523,0.000747565645724535
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/039_near_both_pairs20.json,0.006679164711385965,0.005912961438298225,0.0007662032730877399
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/040_deep_pos_near_neg_pairs20.json,0.006300192791968584,0.0056392173282802105,0.0006609754636883736
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/041_grid_like_pairs20.json,0.009940607473254204,0.008478269912302494,0.0014623375609517097
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/042_cluster_pos_pairs20.json,0.03785315155982971,0.03259274736046791,0.005260404199361801
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/043_cluster_neg_pairs20.json,0.005105996038764715,0.004765691235661507,0.00034030480310320854
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/044_edge_heavy_neg_pairs20.json,0.005744411610066891,0.00513877347111702,0.0006056381389498711
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/045_uniform_pairs20.json,0.005296771414577961,0.004431296139955521,0.0008654752746224403
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/046_boundary_band_pairs20.json,0.00571872154250741,0.005141225643455982,0.0005774958990514278
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/047_spread_poisson_pairs20.json,0.006442593410611153,0.005625362507998943,0.0008172309026122093
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/048_near_both_pairs20.json,0.006349694915115833,0.005724797025322914,0.0006248978897929192
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/049_deep_pos_near_neg_pairs20.json,0.005839073099195957,0.005154696758836508,0.0006843763403594494
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/050_grid_like_pairs20.json,0.0063035450875759125,0.005169579293578863,0.0011339657939970493
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/051_cluster_pos_pairs20.json,0.021587923169136047,0.018744993954896927,0.0028429292142391205
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/052_cluster_neg_pairs20.json,0.006343901623040438,0.005581859964877367,0.0007620416581630707
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/053_edge_heavy_neg_pairs20.json,0.005762259475886822,0.005121082533150911,0.0006411769427359104
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/054_uniform_pairs20.json,0.010006866417825222,0.009280772879719734,0.0007260935381054878
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/055_boundary_band_pairs20.json,0.006667339708656073,0.0061578149907290936,0.0005095247179269791
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/056_spread_poisson_pairs20.json,0.0058900294825434685,0.004948033019900322,0.0009419964626431465
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/057_near_both_pairs20.json,0.0064558605663478374,0.005732797551900148,0.0007230630144476891
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/058_deep_pos_near_neg_pairs20.json,0.005365703720599413,0.004934410098940134,0.00043129362165927887
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/059_grid_like_pairs20.json,0.00801999680697918,0.006762894801795483,0.0012571020051836967
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/060_cluster_pos_pairs20.json,0.012907191179692745,0.011737525463104248,0.0011696657165884972
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/061_cluster_neg_pairs20.json,0.0073924316093325615,0.006259274668991566,0.0011331569403409958
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/062_edge_heavy_neg_pairs20.json,0.00878731720149517,0.008034379221498966,0.0007529379799962044
/home/prithwijit/Vit/attention/segment-anything/out_prompts_strict_bird/calib/063_uniform_pairs20.json,0.006655524950474501,0.005904970690608025,0.0007505542598664761
