step,Z_block_0,Z_block_1
1,-6.798083,-6.809971
2,-6.797192,-6.807977
3,-6.808724,-6.803622
4,-6.810820,-6.806089
5,-6.821081,-6.805331
6,-6.832671,-6.807456
7,-6.833637,-6.799659
8,-6.820379,-6.799780
9,-6.820570,-6.797460
10,-6.818654,-6.792045
11,-6.811081,-6.795933
