step,Z_block_0,Z_block_1
1,0.642889,0.624618
2,0.651024,0.650500
3,0.644244,0.635760
4,0.638284,0.635994
5,0.623751,0.647011
6,0.614150,0.658161
7,0.610202,0.649562
8,0.638721,0.648648
9,0.621683,0.665867
10,0.624238,0.641522
11,0.630874,0.651569
