step,Z_block_0,Z_block_1
1,0.643540,0.639336
2,0.662846,0.627903
3,0.647646,0.645520
4,0.639544,0.663301
5,0.639381,0.669017
6,0.616367,0.648896
7,0.611906,0.619585
8,0.621943,0.646376
9,0.634941,0.638956
10,0.604565,0.658337
11,0.644787,0.657188
