step,Z_block_0,Z_block_1
1,-6.773933,-6.786574
2,-6.744315,-6.766756
3,-6.689227,-6.702812
4,-6.665470,-6.680936
5,-6.666091,-6.657951
6,-6.762221,-6.710456
7,-6.734555,-6.747439
8,-6.777071,-6.755625
9,-6.744708,-6.693718
10,-6.719166,-6.726799
11,-6.697685,-6.679175
