step,Z_block_0,Z_block_1
1,4.651389,4.626321
2,3.697673,3.958952
3,3.922402,4.329729
4,4.094385,3.422095
5,4.488296,3.439868
6,4.694335,4.028795
7,4.735924,4.208269
8,3.728474,4.503375
9,4.164315,4.309704
10,4.233961,4.262819
11,4.480995,4.116288
