step,Z_block_0,Z_block_1
1,-0.911488,-1.068546
2,-0.947701,-1.061281
3,-0.986866,-1.042539
4,-1.007107,-1.127868
5,-1.021769,-1.182990
6,-1.016159,-1.473278
7,-1.031764,-1.173505
8,-1.049308,-1.158938
9,-1.153700,-1.149935
10,-1.062431,-1.289845
11,-1.057049,-1.144366
