step,pred_iou,anch_mi,stab,unc_global,unc_boundary,iou_gt,dice_gt,d_pred,d_mi,d_stab,d_pred_ema,d_mi_ema,d_stab_ema
1,0.9784806966781616,-7.072765350341797,0.9982107118714632,0.0033147945068776608,0.0033147945068776608,0.999814257094583,0.9999071199213836,0.0,0.0,0.0,0.0,0.0,0.0
2,0.9826723337173462,-7.066544532775879,0.9981563275103792,0.002765675075352192,0.002765675075352192,0.9988989267851317,0.9994491601350552,0.00419163703918457,0.006220817565917969,-5.441904067993164e-05,0.0016766547923907638,0.0024883269798010588,-2.1767616999568418e-05
3,0.9669767618179321,-6.993462562561035,0.9976647604387866,0.004369882866740227,0.004369882866740227,0.9978509173397809,0.9989243027887782,-0.015695571899414062,0.07308197021484375,-0.0004915595054626465,-0.0052722361870110035,0.030725784599781036,-0.00020968438184354454
4,0.9507075548171997,-6.698129653930664,0.9947430604413978,0.010011132806539536,0.010011132806539536,0.9937132777164883,0.9968467269823711,-0.016269207000732422,0.2953329086303711,-0.0029217004776000977,-0.009671024978160858,0.13656863570213318,-0.0012944908812642097
5,0.9527223110198975,-6.769026279449463,0.9925502954649768,0.011615821160376072,0.011615821160376072,0.991298926955952,0.9956304536068077,0.002014756202697754,-0.07089662551879883,-0.0021927356719970703,-0.004996712785214186,0.053582534193992615,-0.0016537888441234827
6,0.9607752561569214,-6.705787181854248,0.976195858877219,0.013272932730615139,0.013272932730615139,0.97377462359873,0.98671308462085,0.008052945137023926,0.06323909759521484,-0.01635444164276123,0.00022315047681331635,0.057445161044597626,-0.00753405038267374
7,0.9700779914855957,-6.753455638885498,0.944294292295072,0.014287970960140228,0.014287970960140228,0.9410087021117292,0.9696079168403051,0.009302735328674316,-0.04766845703125,-0.03190159797668457,0.0038549844175577164,0.015399714931845665,-0.017281070351600647
8,0.9843089580535889,-7.125041484832764,0.9977036211106247,0.0035453755408525467,0.0035453755408525467,0.9980502685853176,0.9990241830021308,0.014230966567993164,-0.3715858459472656,0.05340933799743652,0.008005376905202866,-0.13939452171325684,0.010995092801749706
9,0.9799792170524597,-7.069621562957764,0.997382998790999,0.00415174150839448,0.00415174150839448,0.9976389754743938,0.998818092480877,-0.00432974100112915,0.055419921875,-0.00032061338424682617,0.0030713300220668316,-0.06146874651312828,0.006468810606747866
10,0.9740080237388611,-6.93103551864624,0.9957854151431237,0.005338968243449926,0.005338968243449926,0.9969091994427278,0.9984522077628092,-0.005971193313598633,0.13858604431152344,-0.001597583293914795,-0.0005456792423501611,0.018553167581558228,0.003242253325879574
11,0.9743045568466187,-6.988833427429199,0.9973175039505734,0.0038119519595056772,0.0038119519595056772,0.997970230040463,0.9989840839823244,0.00029653310775756836,-0.057797908782958984,0.0015320777893066406,-0.00020879431394860148,-0.011987263336777687,0.0025581831578165293
12,0.9678117632865906,-7.05975341796875,0.9970115156263204,0.0041280947625637054,0.0041280947625637054,0.9978507747822918,0.9989242313565974,-0.006492793560028076,-0.07091999053955078,-0.0003059506416320801,-0.002722394187003374,-0.035560354590415955,0.001412529731169343
13,0.9670490026473999,-7.019588470458984,0.9974488779047584,0.004410835448652506,0.004410835448652506,0.9973996338258555,0.998698124236078,-0.0007627606391906738,0.040164947509765625,0.000437319278717041,-0.001938540837727487,-0.005270233377814293,0.0010224456200376153
14,0.9617302417755127,-6.850525856018066,0.9970490103549168,0.005197439808398485,0.005197439808398485,0.996789343805424,0.9983920906807038,-0.005318760871887207,0.16906261444091797,-0.0003998279571533203,-0.0032906290143728256,0.06446290761232376,0.0004535362240858376
