step,Z_block_0,Z_block_1
1,-6.725094,-6.760550
2,-6.684142,-6.704517
3,-6.620212,-6.619112
4,-6.623283,-6.598356
5,-6.596960,-6.577562
6,-6.639744,-6.677142
7,-6.678452,-6.675022
8,-6.702126,-6.670893
9,-6.654370,-6.642182
10,-6.626245,-6.656424
11,-6.641229,-6.610871
