step,Z_block_0,Z_block_1
1,-0.636673,-0.705564
2,-0.823478,-1.093645
3,-0.658509,-0.759316
4,-0.647885,-0.818900
5,-0.662480,-1.084992
6,-0.679337,-1.048571
7,-0.681601,-1.062821
8,-0.673191,-1.239469
9,-0.718478,-0.777507
10,-0.687640,-0.849129
11,-0.730186,-1.231195
