step,Z_block_0,Z_block_1
1,4.537874,4.427810
2,4.428298,4.383208
3,4.680709,4.646953
4,4.651780,4.589762
5,5.135522,4.492897
6,4.432381,3.917760
7,4.414720,4.466241
8,4.585863,4.482275
9,4.629715,4.099166
10,4.305587,3.801730
11,4.467186,4.284432
