step,Z_block_0,Z_block_1
1,0.691042,0.690298
2,0.693706,0.669513
3,0.709909,0.712753
4,0.697396,0.699424
5,0.714717,0.718777
6,0.683766,0.702710
7,0.690036,0.700305
8,0.678740,0.696885
9,0.699947,0.708410
10,0.695315,0.714784
11,0.691263,0.700597
