dataset,iteration,miou_mean,miou_std,dice_mean,dice_std,n,norm_denom,normalized,normalized_std
Bird,1,0.7123653805286196,0.28530800480167706,0.7853398357197399,0.2854794579317977,201,0.7575014461964327,0.9404145485207318,0.37664351168471827
Bird,2,0.7575014461964327,0.22709575022807874,0.8343807464321463,0.21954140079510095,201,0.7575014461964327,1.0,0.2997957975768525
Bird,3,0.7382467031504979,0.25485693304074103,0.8132113696189224,0.2524244220731462,201,0.7575014461964327,0.9745812458278242,0.3364441537642324
Bird,4,0.7341802231735366,0.26339849011453376,0.8074940228467555,0.2634449799592801,201,0.7575014461964327,0.969212965678156,0.3477201151722028
Bird,5,0.7241599495358126,0.2742410488236397,0.7965519587451081,0.2784753961466578,201,0.7575014461964327,0.955984906922575,0.36203369670204494
Bird,6,0.724851298134264,0.27295514744112537,0.7976345599416531,0.2760734375895993,201,0.7575014461964327,0.9568975765972307,0.3603361403620919
Bird,7,0.714350049575913,0.28562063333581994,0.7861633011053806,0.28867332862781375,201,0.7575014461964327,0.9430345686636091,0.37705622183294657
Bird,8,0.7021698907369205,0.29461329011758386,0.7739939509566288,0.30002870115703545,201,0.7575014461964327,0.9269551817526646,0.38892769326962545
Bird,9,0.6915245167651721,0.30750636600659176,0.7612946566483902,0.3149932274537727,201,0.7575014461964327,0.9129019096101479,0.40594822300425054
Bird,10,0.6811781833307996,0.3092510656475632,0.7532148179979129,0.31585002358784997,201,0.7575014461964327,0.8992434097005787,0.4082514524564608
Bird,11,0.6783982375078127,0.31223946150151144,0.749888183712045,0.3197091604771279,201,0.7575014461964327,0.8955735212311302,0.41219652195956674
Bird,12,0.6752886103054229,0.3119757667675187,0.7478944405382091,0.31826231640657643,201,0.7575014461964327,0.8914684106494886,0.4118484107641139
Bird,13,0.674219914631447,0.3132981897385938,0.7465805670818025,0.3197919601709492,201,0.7575014461964327,0.8900575939713924,0.41359418033025164
Bird,14,0.6647639700796405,0.3198865128274283,0.7370053240437625,0.3261681356236936,201,0.7575014461964327,0.8775745226858038,0.4222916199482429
Bird,15,0.6576092204559039,0.3242992289820572,0.7296792765223332,0.33139138409254804,201,0.7575014461964327,0.8681293266935558,0.4281169766875416
Bird,16,0.6427313495145963,0.33122304013148,0.7151971134822156,0.3394730201101967,201,0.7575014461964327,0.8484886104731283,0.4372573039888143
Bird,17,0.6383327661851841,0.33297591470506877,0.7111542654527367,0.34058566919889766,201,0.7575014461964327,0.8426819108932154,0.4395713254106747
Bird,18,0.6263494455116617,0.3391872869317509,0.6990588921452523,0.3469452528907565,201,0.7575014461964327,0.8268623758498264,0.4477711410781835
Bird,19,0.6172714570427369,0.34242327738938344,0.6902949619374045,0.3506019293369226,201,0.7575014461964327,0.8148782555362517,0.45204306751988355
Bird,20,0.599669330602672,0.350833198499131,0.6721166560391989,0.3594570791548541,201,0.7575014461964327,0.7916411692858575,0.46314525240939824
Bird,21,0.5923429236257273,0.35284062942558436,0.6649955135601363,0.3619760849624019,201,0.7575014461964327,0.7819693633589749,0.46579532118026734
Bird,22,0.5788508707661678,0.3586544882647419,0.6506660813813424,0.3690174536794609,201,0.7575014461964327,0.7641581064599872,0.4734703677011025
Bird,23,0.5664532795072288,0.36152882202552805,0.6386573572981253,0.37197684598220315,201,0.7575014461964327,0.7477916805987695,0.47726486047100913
Bird,24,0.5603243832730391,0.3596992879293287,0.6341125678705751,0.37050960106274516,201,0.7575014461964327,0.7397007439214021,0.4748496385524427
Bird,25,0.5503913600548199,0.36003164122594755,0.6250748661984544,0.37139728749271717,201,0.7575014461964327,0.7265878670178728,0.47528838794135503
Bird,26,0.5400132757310434,0.36290214690995964,0.6143445759733874,0.3746274101810237,201,0.7575014461964327,0.7128874518227771,0.47907782715421127
Bird,27,0.5373424759034372,0.36205480482969793,0.6123163051146506,0.37388371382248015,201,0.7575014461964327,0.7093616502008571,0.4779592258835254
Bird,28,0.5160780102546179,0.3676209868646524,0.589736936600861,0.3811742872789146,201,0.7575014461964327,0.6812898019481672,0.4853073069504374
Bird,29,0.5079083934533353,0.3689181513168967,0.5815731782601234,0.3819283927835252,201,0.7575014461964327,0.6705048498635159,0.48701973200092097
Bird,30,0.5054156763813236,0.36861397219354114,0.5791672984905095,0.3825094294270609,201,0.7575014461964327,0.667214140539424,0.4866181761690702
Bird,31,0.4981363227180534,0.3674162953454787,0.5727507443620752,0.3818669106560606,201,0.7575014461964327,0.6576044510796596,0.4850370876390401
Bird,32,0.4844607785898849,0.36659962237145505,0.5597746998375033,0.38200703534449254,201,0.7575014461964327,0.6395509619453006,0.4839589735600184
Bird,33,0.47653994411841705,0.3678153989962566,0.5512916431399548,0.3837267600018809,201,0.7575014461964327,0.6290944347515376,0.48556395613913583
Bird,34,0.4691421777589912,0.37022960411506717,0.542264651466826,0.38803189837593854,201,0.7575014461964327,0.6193284251992502,0.4887510195182657
Bird,35,0.4552964687834156,0.36715536608968996,0.5297736925544814,0.38587543942500646,201,0.7575014461964327,0.6010502964311829,0.4846926272329261
Bird,36,0.45060129621498096,0.3661473418427838,0.5253427791148884,0.38565071018555563,201,0.7575014461964327,0.5948520606495747,0.48336190469507795
Bird,37,0.4439602673651247,0.3672446556580568,0.5176402273115039,0.3880757194681008,201,0.7575014461964327,0.5860850426020155,0.48481050102553097
Bird,38,0.4351667040384934,0.3636758577877231,0.5103585069164487,0.3847907813145593,201,0.7575014461964327,0.5744764003072905,0.4800992257028852
Bird,39,0.4318965011748236,0.36215991538423575,0.5076175570420536,0.38382908128632764,201,0.7575014461964327,0.5701593090593594,0.47809798542658055
Bird,40,0.4238345633247938,0.3620596854692822,0.49887195841856075,0.3850677566407146,201,0.7575014461964327,0.559516507134016,0.47796566895978454
Bird,41,0.4179604217631389,0.3602540587226866,0.4936403993141924,0.3831854879427954,201,0.7575014461964327,0.5517618796133029,0.475582007838526
Bird,42,0.41060354769602087,0.35832158377181783,0.4867498177098285,0.38142387946732503,201,0.7575014461964327,0.5420498531821213,0.47303089066169135
Bird,43,0.40358927983300963,0.3564018311884265,0.47996514332762846,0.3804519429798548,201,0.7575014461964327,0.5327901113054142,0.4704965686573826
Bird,44,0.3956997336301046,0.354178879340206,0.472466282871869,0.378522429412379,201,0.7575014461964327,0.5223748886777612,0.46756198436136254
Bird,45,0.3910585182497031,0.35189020423083894,0.4685006583113892,0.3765487743852961,201,0.7575014461964327,0.5162478833714268,0.46454063684993674
Bird,46,0.3869441745260055,0.35030875729161987,0.464715875816316,0.37525830027409135,201,0.7575014461964327,0.5108164168780537,0.4624529221040972
Bird,47,0.3845914889074403,0.3487972342209755,0.462792494618137,0.37416801221170287,201,0.7575014461964327,0.5077105672055832,0.4604575159194173
Bird,48,0.3806899410607197,0.34572118806077046,0.45968985675428936,0.37249910619387455,201,0.7575014461964327,0.502560018825364,0.4563967366619644
Bird,49,0.3769359559928886,0.3437209984609674,0.4564949199879336,0.3706588328013559,201,0.7575014461964327,0.4976042724216039,0.4537562273799736
Bird,50,0.37118392396011907,0.341930580597831,0.45083021924926975,0.369457117407475,201,0.7575014461964327,0.4900108452913302,0.4513926439543229
Bird,51,0.3725599920297246,0.3417550423887902,0.45246022343493847,0.36935830650915147,201,0.7575014461964327,0.4918274333341849,0.45116091078744613
Bird,52,0.36718389715526784,0.34040910952208964,0.44701716710802014,0.3682310518903633,201,0.7575014461964327,0.48473029193405787,0.4493841051147194
Bird,53,0.36608796685246836,0.34133761491162057,0.4451025119040588,0.3698039591131501,201,0.7575014461964327,0.48328352201922486,0.45060985246370877
Bird,54,0.3634224701743288,0.3396751557205829,0.44292488082732545,0.3681651380296399,201,0.7575014461964327,0.47976472124132075,0.44841519105496136
Bird,55,0.3568422911975075,0.3377082333552874,0.43628563552972166,0.36658469677879457,201,0.7575014461964327,0.47107803290579114,0.4458185988303896
Bird,56,0.35927615488806874,0.3372734728158933,0.439240060720155,0.36645624326058707,201,0.7575014461964327,0.4742910481452764,0.4452446586200084
Bird,57,0.3509400224201898,0.3348364904852516,0.43068003186468834,0.36465147934697395,201,0.7575014461964327,0.46328627381812976,0.44202752637177534
Bird,58,0.3511434688457963,0.3335536970317172,0.4315041207911768,0.3637506221956445,201,0.7575014461964327,0.4635548494447877,0.44033407290053045
Bird,59,0.34765775483245087,0.3321400362317445,0.42808335967163297,0.36269358502785815,201,0.7575014461964327,0.4589532555721319,0.4384678575856013
Bird,60,0.340079549347928,0.32667770120608314,0.4217856044760434,0.3581077131384949,201,0.7575014461964327,0.44894904300914,0.43125686801840135
Bird,61,0.33839729956533965,0.32664127197741194,0.4198654813136823,0.35784292433218334,201,0.7575014461964327,0.4467282554568056,0.4312087767192308
Bird,62,0.3371843181638629,0.32485434370201494,0.41929952811271526,0.35631952803419414,201,0.7575014461964327,0.4451269629344383,0.42884980000127265
Bird,63,0.33580886012930866,0.32464522007912683,0.4177395348366636,0.3562703340587096,201,0.7575014461964327,0.44331118021684657,0.4285737297390465
Bird,64,0.33234818833274665,0.3244639842113412,0.41369662025913645,0.35609209230207683,201,0.7575014461964327,0.43874264531313284,0.4283344749248206
Bird,65,0.3283303557195054,0.32253939226713474,0.4099373959795918,0.3539701877067566,201,0.7575014461964327,0.43343858598306084,0.4257937643375732
Bird,66,0.3262764602165986,0.3231168050699009,0.40721495160747895,0.35434803982607604,201,0.7575014461964327,0.43072717795444276,0.4265560240080537
Bird,67,0.32484339368657045,0.32268493910554075,0.40572005609118794,0.3538902920296443,201,0.7575014461964327,0.4288353445629372,0.425985905011544
Bird,68,0.32394092777713396,0.32237489258124374,0.40476618438364326,0.35368759949944395,201,0.7575014461964327,0.4276439726995989,0.42557660345066406
Bird,69,0.32292889926328744,0.32191491788706045,0.4037136323355826,0.3534772951116281,201,0.7575014461964327,0.42630796401086557,0.4249693772909083
Bird,70,0.32143742484202864,0.32121254589116066,0.40229075083007954,0.35270768683356324,201,0.7575014461964327,0.4243390246395313,0.42404215530416944
Bird,71,0.31391229926591785,0.3190306739050742,0.3942589116419788,0.35040788297885844,201,0.7575014461964327,0.41440488442911194,0.4211618017457148
Bird,72,0.31258193168140846,0.31908822813491877,0.392578322085346,0.35055503793535986,201,0.7575014461964327,0.4126486269444703,0.4212377807819708
Bird,73,0.3112883341734314,0.3187462242499831,0.391179761032168,0.3501560839865642,201,0.7575014461964327,0.4109409107223132,0.4207862913667982
Bird,74,0.31083035370566303,0.3183193192236317,0.39081893482837027,0.34979195201049657,201,0.7575014461964327,0.41033631719966324,0.42022272145086603
Bird,75,0.3083160590942743,0.31616836919151253,0.3886993783675285,0.3481507621414028,201,0.7575014461964327,0.40701712272945656,0.4173831888758201
Bird,76,0.30734802346796686,0.315695162613552,0.3877349895884177,0.34772644601196323,201,0.7575014461964327,0.40573919034903916,0.41675849491604405
Bird,77,0.30522807532194485,0.3142775159768624,0.3858038976878808,0.34647712618064913,201,0.7575014461964327,0.4029405842781641,0.4148870177805113
Bird,78,0.30551394307476615,0.31477844188272375,0.38590911649337645,0.3469342273211964,201,0.7575014461964327,0.40331796672971804,0.4155483048425712
Bird,79,0.30487195742545825,0.31427144216178066,0.3853316998347309,0.34657807760337495,201,0.7575014461964327,0.4024704625400806,0.41487899955808777
