dataset,sample_id,iteration,n_inclusion,n_exclusion,miou,dice
Bird,sample_000000,74,74,74,0.47136624317427217,0.6407191212398128
Bird,sample_000000,75,75,75,0.47714174886401417,0.6460338003863973
Bird,sample_000000,76,76,76,0.4538688905309828,0.6243601379560719
Bird,sample_000000,77,77,77,0.47776510832383123,0.6466049382716049
Bird,sample_000000,78,78,78,0.47285946407424745,0.6420971933957854
Bird,sample_000000,79,79,79,0.47854226271492456,0.6473163125363993
Bird,sample_000000,80,80,80,0.4651508597382935,0.6349528536895909
Bird,sample_000000,81,81,81,0.44826596383184153,0.6190381808681238
Bird,sample_000000,82,82,82,0.4233594635901987,0.5948735711811569
Bird,sample_000000,83,83,83,0.39888488790800325,0.5702897949016026
Bird,sample_000000,84,84,84,0.4079149802362186,0.5794596775549317
Bird,sample_000000,85,85,85,0.38283512273355014,0.5536959778354086
Bird,sample_000000,86,86,86,0.3700883927995355,0.540240169531434
Bird,sample_000000,87,87,87,0.37169611841111616,0.541951112089848
Bird,sample_000000,88,88,88,0.3444234859734318,0.5123735036866772
Bird,sample_000000,89,89,89,0.3369520406761028,0.5040600267242266
Bird,sample_000000,90,90,90,0.33361834434512244,0.5003205688640205
Bird,sample_000000,91,91,91,0.3403710685583887,0.5078758808550956
Bird,sample_000000,92,92,92,0.3592786844139833,0.5286313815314139
Bird,sample_000000,93,93,93,0.3396465145704005,0.507068858652342
Bird,sample_000000,94,94,94,0.3516458801881006,0.5203224976932036
Bird,sample_000000,95,95,95,0.31998211557807665,0.48482795607869705
Bird,sample_000000,96,96,96,0.31251820565103405,0.47621161261686135
Bird,sample_000000,97,97,97,0.3068411723631676,0.4695921414968969
Bird,sample_000000,98,98,98,0.307993533321358,0.47094045264776974
Bird,sample_000000,99,99,99,0.31254095376774665,0.47623802193840054
Bird,sample_000000,100,100,100,0.3052654056266349,0.46774457410840875
Bird,sample_000001,1,1,1,0.7913122524511396,0.8835000724952878
Bird,sample_000001,2,2,2,0.8092623692029454,0.894577130413052
Bird,sample_000001,3,3,3,0.8102034226670972,0.8951517962256074
Bird,sample_000001,4,4,4,0.7851302050572398,0.8796335447498238
Bird,sample_000001,5,5,5,0.7826855123674912,0.8780971258671952
Bird,sample_000001,6,6,6,0.490394137452961,0.6580730897009966
Bird,sample_000001,7,7,7,0.49943912900032994,0.6661679281816582
Bird,sample_000001,8,8,8,0.49663499604117184,0.663668826874752
Bird,sample_000001,9,9,9,0.5181398416886543,0.6825983054529654
Bird,sample_000001,10,10,10,0.658360961458765,0.7939899415862306
Bird,sample_000001,11,11,11,0.6686277627603753,0.8014103297122165
Bird,sample_000001,12,12,12,0.6359142496847415,0.7774420325604341
Bird,sample_000001,13,13,13,0.6899789449724009,0.8165533032527443
Bird,sample_000001,14,14,14,0.697452412444649,0.8217637293762916
Bird,sample_000001,15,15,15,0.6896198497609833,0.8163017851128326
Bird,sample_000001,16,16,16,0.6833660589060309,0.8119042858095048
Bird,sample_000001,17,17,17,0.6703740050158107,0.8026633592271036
Bird,sample_000001,18,18,18,0.6575906708034663,0.7934295026946784
Bird,sample_000001,19,19,19,0.6411718952553799,0.7813586097946288
Bird,sample_000001,20,20,20,0.6377331420373027,0.7787998247919404
Bird,sample_000001,21,21,21,0.6050146056475171,0.7539054205720872
Bird,sample_000001,22,22,22,0.6140541609013639,0.7608842079480742
Bird,sample_000001,23,23,23,0.5885998107852413,0.7410296876395795
Bird,sample_000001,24,24,24,0.59112549990478,0.7430281268701376
Bird,sample_000001,25,25,25,0.5833802816901409,0.736879558797367
Bird,sample_000001,26,26,26,0.5536861835058907,0.7127387620278616
Bird,sample_000001,27,27,27,0.5313102738845313,0.6939289612897809
Bird,sample_000001,28,28,28,0.50688503218447,0.672758732561912
Bird,sample_000001,29,29,29,0.5023557363186083,0.6687573710732283
Bird,sample_000001,30,30,30,0.5030731530952477,0.6693927731451785
Bird,sample_000001,31,31,31,0.2980163252017395,0.4591873297979074
Bird,sample_000001,32,32,32,0.29297339306939746,0.4531777600990011
Bird,sample_000001,33,33,33,0.284943730438836,0.44351160862354894
Bird,sample_000001,34,34,34,0.2759480608822771,0.43253807790807386
Bird,sample_000001,35,35,35,0.26698544698544696,0.4214499031866365
Bird,sample_000001,36,36,36,0.26354108985007896,0.41714684542842767
Bird,sample_000001,37,37,37,0.2579312557654514,0.410087998979722
Bird,sample_000001,38,38,38,0.2571091704802062,0.4090482776161635
Bird,sample_000001,39,39,39,0.2529739082561592,0.4037975676735975
Bird,sample_000001,40,40,40,0.2430203525762276,0.3910158865420902
Bird,sample_000001,41,41,41,0.23885616603801632,0.38560758316585175
Bird,sample_000001,42,42,42,0.23013713344552258,0.3741650051664168
Bird,sample_000001,43,43,43,0.4151371620288139,0.5867094344885294
Bird,sample_000001,44,44,44,0.41440257564308947,0.585975425638167
Bird,sample_000001,45,45,45,0.4069336598253697,0.5784688666498728
Bird,sample_000001,46,46,46,0.40299936183790686,0.5744826017739367
Bird,sample_000001,47,47,47,0.40469706193329275,0.5762054650791478
Bird,sample_000001,48,48,48,0.4066907077081589,0.5782233514156881
Bird,sample_000001,49,49,49,0.39866616094569823,0.5700662131929222
Bird,sample_000001,50,50,50,0.3851756640959726,0.5561398082276523
Bird,sample_000001,51,51,51,0.3850715246362636,0.5560312486207353
Bird,sample_000001,52,52,52,0.3743422030622863,0.5447583610954874
Bird,sample_000001,53,53,53,0.3694344163658243,0.539543057996485
Bird,sample_000001,54,54,54,0.3775972176415915,0.5481968354843624
Bird,sample_000001,55,55,55,0.37054268131091544,0.5407240305081105
Bird,sample_000001,56,56,56,0.3703540213648804,0.5405231284628269
Bird,sample_000001,57,57,57,0.38373795290960105,0.5546396297112629
Bird,sample_000001,58,58,58,0.37280246657377486,0.5431261607567054
Bird,sample_000001,59,59,59,0.3683963647024333,0.5384351701088353
Bird,sample_000001,60,60,60,0.3634101889084965,0.5330900294935178
Bird,sample_000001,61,61,61,0.36030402982934173,0.5297404432074556
Bird,sample_000001,62,62,62,0.35634333645045196,0.5254471001169981
Bird,sample_000001,63,63,63,0.3707285432084206,0.5409218988621454
Bird,sample_000001,64,64,64,0.20356414995971372,0.3382688824131685
Bird,sample_000001,65,65,65,0.2028624962604903,0.3372995614896263
Bird,sample_000001,66,66,66,0.20116117553415636,0.3349445180738546
Bird,sample_000001,67,67,67,0.19984488909570342,0.3331178736716912
Bird,sample_000001,68,68,68,0.19845857418111754,0.3311897106109325
Bird,sample_000001,69,69,69,0.19604740677630877,0.3278254785982319
Bird,sample_000001,70,70,70,0.19627948077274665,0.32814987455265604
Bird,sample_000001,71,71,71,0.19666697216875936,0.3286912344749237
Bird,sample_000001,72,72,72,0.19828369821436825,0.3309461666045232
Bird,sample_000001,73,73,73,0.19501779359430604,0.32638475282906493
Bird,sample_000001,74,74,74,0.19386079857816335,0.3247628179249092
Bird,sample_000001,75,75,75,0.1929143884353232,0.3234337523388545
Bird,sample_000001,76,76,76,0.19323453898473042,0.3238835831036956
Bird,sample_000001,77,77,77,0.19111322041942277,0.3208984958661221
Bird,sample_000001,78,78,78,0.1904072558606733,0.3199027138372194
Bird,sample_000001,79,79,79,0.18947414793168768,0.31858472630305423
Bird,sample_000001,80,80,80,0.1883039229983958,0.31692889227068555
Bird,sample_000001,81,81,81,0.1885095072582294,0.3172200240839498
Bird,sample_000001,82,82,82,0.18794037151342224,0.3164138133869268
Bird,sample_000001,83,83,83,0.18554199569274946,0.3130078839330047
Bird,sample_000001,84,84,84,0.18420415200262172,0.31110202018986655
Bird,sample_000001,85,85,85,0.18375030189376182,0.31045449635754835
Bird,sample_000001,86,86,86,0.18325405451183535,0.3097459143504712
