set,N_prompts,C,U,R,E,U_t,R_t,E_t,F
FULL,100,0.007066808136430492,0.057571685536112804,8.75342039949563,7.5574756318004574,1.0,1.0,1.0,inf
REFINED,25,3.008671392160526e-05,0.026375858338820612,6.525515855326251,7.555602646263392,0.4858018320490382,0.8497091455182924,0.6714623587148887,0.8497091455182924
