step,pred_iou,anch_mi,stab,unc_global,unc_boundary,iou_gt,dice_gt,d_pred,d_mi,d_stab,d_pred_ema,d_mi_ema,d_stab_ema
24,0.9652217626571655,-7.139810085296631,0.964448219377248,0.0024479597341269255,0.0024479597341269255,0.9731181164474126,0.9863759379996023,0.0007281303405761719,-0.14340925216674805,-0.000732123851776123,-0.00023733408306725323,-0.05067659914493561,-0.0021220704074949026
25,0.9642491936683655,-7.101861476898193,0.9635961992371351,0.0025155008770525455,0.0025155008770525455,0.9715358527128842,0.9855624500827878,-0.0009725689888000488,0.0379486083984375,-0.0008519887924194336,-0.0005314280861057341,-0.015226517803966999,-0.0016140377847477794
26,0.960523247718811,-7.04668664932251,0.9606116355517809,0.0027670885901898146,0.0027670885901898146,0.9683867266520825,0.9839395008511936,-0.0037259459495544434,0.055174827575683594,-0.0029845833778381348,-0.0018092351965606213,0.012934019789099693,-0.002162256045266986
27,0.9591768980026245,-7.047720909118652,0.9586366644603338,0.0029287287034094334,0.0029287287034094334,0.9668484976338969,0.9831448622474054,-0.0013463497161865234,-0.0010342597961425781,-0.0019749999046325684,-0.0016240810509771109,0.007346708327531815,-0.002087353728711605
28,0.9565856456756592,-7.0405707359313965,0.9651869368692295,0.003256360301747918,0.003256360301747918,0.963656023788495,0.981491678903423,-0.002591252326965332,0.007150173187255859,0.006550312042236328,-0.002010949654504657,0.007268094457685947,0.001367712626233697
29,0.953969419002533,-7.107285499572754,0.9648062247490754,0.003441695822402835,0.003441695822402835,0.9636451041069124,0.9814860150558509,-0.0026162266731262207,-0.06671476364135742,-0.0003807544708251953,-0.002253060694783926,-0.022325050085783005,0.0006683258106932044
30,0.9508890509605408,-7.007877349853516,0.9627969520391566,0.003778881160542369,0.003778881160542369,0.9618430525555071,0.9805504587154464,-0.0030803680419921875,0.09940814971923828,-0.002009272575378418,-0.0025839838199317455,0.02636823058128357,-0.0004027135146316141
31,0.9505172967910767,-7.135226249694824,0.9604428966869184,0.003894711146131158,0.003894711146131158,0.9592355544918774,0.9791936985756188,-0.00037175416946411133,-0.1273488998413086,-0.0023540258407592773,-0.001699092099443078,-0.035118620842695236,-0.0011832384625449777
32,0.9469549059867859,-7.087981700897217,0.9584853067636455,0.004182636737823486,0.004182636737823486,0.9578208955221023,0.9784560964823855,-0.0035623908042907715,0.04724454879760742,-0.0019575953483581543,-0.002444411627948284,-0.002173352986574173,-0.0014929813332855701
33,0.9468795657157898,-6.998332500457764,0.9549183969666317,0.0042640347965061665,0.0042640347965061665,0.9566072599389175,0.9778224578076864,-7.534027099609375e-05,0.08964920043945312,-0.003566920757293701,-0.0014967831084504724,0.034555669873952866,-0.0023225571494549513
34,0.9443203210830688,-7.0604023933410645,0.9506909732428843,0.0048538874834775925,0.0048538874834775925,0.9521846172096959,0.9755067310905012,-0.0025592446327209473,-0.06206989288330078,-0.004227399826049805,-0.0019217678345739841,-0.004094554111361504,-0.0030844942666590214
35,0.9446262717247009,-7.036584854125977,0.9492078422148235,0.004802596755325794,0.004802596755325794,0.952417680213304,0.9756290263764168,0.0003059506416320801,0.02381753921508789,-0.001483142375946045,-0.0010306804906576872,0.007070282939821482,-0.002443953650072217
36,0.9438306093215942,-6.978547096252441,0.944477154969105,0.005293983966112137,0.005293983966112137,0.9511290466155453,0.9749524750968026,-0.0007956624031066895,0.058037757873535156,-0.004730701446533203,-0.0009366732556372881,0.02745727449655533,-0.00335865281522274
37,0.9430455565452576,-7.011796951293945,0.9456796659017277,0.005418526008725166,0.005418526008725166,0.9496387967784967,0.9741689571910869,-0.0007850527763366699,-0.033249855041503906,0.0012025237083435059,-0.0008760250639170408,0.003174424171447754,-0.001534182345494628
38,0.9413152933120728,-7.0193023681640625,0.9427757714551389,0.00607096403837204,0.00607096403837204,0.9473606475051112,0.972968873247835,-0.0017302632331848145,-0.0075054168701171875,-0.002903878688812256,-0.0012177203316241503,-0.001097512198612094,-0.0020820610225200653
39,0.9399226307868958,-7.113605499267578,0.9421603602547103,0.0065177613869309425,0.0065177613869309425,0.9440226028603969,0.9712053774183288,-0.001392662525177002,-0.09430313110351562,-0.0006154179573059082,-0.0012876972323283553,-0.03837976232171059,-0.0014954038197174668
40,0.9369478821754456,-7.038721561431885,0.940152689618586,0.007276209071278572,0.007276209071278572,0.9407639948360109,0.9694779966437936,-0.0029747486114501953,0.07488393783569336,-0.0020076632499694824,-0.0019625178538262844,0.006925716996192932,-0.001700307708233595
41,0.9371370673179626,-7.029419898986816,0.9379195610294385,0.007244674488902092,0.007244674488902092,0.9392208553014239,0.9686579563475616,0.00018918514251708984,0.00930166244506836,-0.002233147621154785,-0.001101836678571999,0.007876095362007618,-0.0019134437898173928
42,0.9342341423034668,-7.009115219116211,0.9354716981129361,0.0077933575958013535,0.0077933575958013535,0.9350577394141681,0.9664391096642455,-0.0029029250144958496,0.02030467987060547,-0.002447843551635742,-0.0018222720827907324,0.012847529724240303,-0.002127203857526183
43,0.9333739280700684,-7.035998344421387,0.9359788820233412,0.007943191565573215,0.007943191565573215,0.934866235355559,0.9663368126156423,-0.0008602142333984375,-0.02688312530517578,0.0005071759223937988,-0.0014374490128830075,-0.003044732380658388,-0.0010734520619735122
44,0.9300836324691772,-6.926353454589844,0.9327847553050578,0.008407220244407654,0.008407220244407654,0.930818340104199,0.9641697727544541,-0.0032902956008911133,0.10964488983154297,-0.003194153308868408,-0.002178587717935443,0.04203111678361893,-0.0019217325607314706
