index,x,y,label,sufficiency,stderr,CI95_low,CI95_high,tag
1,363,123,1,0.0023034297798771113,0.014540567186188553,-0.026196081905052453,0.030802941464806673,redundant
2,62,335,0,0.007248897645780567,0.02443403983060619,-0.04064182042220756,0.05513961571376869,redundant
3,351,103,1,-0.0013044905392334022,0.019266563293349172,-0.039066954594197775,0.036457973515730976,redundant
4,247,116,0,-0.008981448593005474,0.011742121492189537,-0.031996006717696965,0.014033109531686017,redundant
5,218,262,1,0.0,0.014501536763149676,-0.028423012055773366,0.028423012055773366,redundant
6,222,7,0,-0.006363328885895749,0.014459734828969395,-0.03470440915067576,0.021977751378884268,redundant
7,124,263,1,0.0004712172954783739,0.012919589982335866,-0.024851179069899924,0.02579361366085667,redundant
8,390,199,0,-0.002380127406749509,0.007863998042112222,-0.017793563569289465,0.013033308755790445,redundant
9,275,244,1,0.001755230745560768,0.023660231666729304,-0.044618823321228664,0.0481292848123502,redundant
10,623,205,0,0.0004998923460971915,0.005602957891379905,-0.010481905121007423,0.011481689813201804,redundant
11,154,264,1,-0.026063278307269178,0.02987768364141132,-0.08462353824443536,0.032496981629897004,redundant
12,578,407,0,-0.00042772152144010533,0.010736451406174151,-0.02147116627754144,0.02061572323466123,redundant
13,321,128,1,-0.0018856344038860454,0.012229475490887974,-0.025855406366026477,0.022084137558254384,redundant
14,264,418,0,-0.00014021284736828038,0.01679166933387208,-0.03305188474175756,0.032771459047021,redundant
15,271,210,1,-0.002871546878116206,0.01595297734751698,-0.03413938247924949,0.028396288723017075,redundant
16,558,366,0,-0.005255862476683945,0.02021290258299819,-0.04487315153936039,0.034361426585992505,redundant
17,339,125,1,-0.005626484440348287,0.01166669623171176,-0.028493209054503334,0.01724024017380676,redundant
18,103,241,0,0.00844318741495707,0.014593875048175742,-0.020160807679467384,0.03704718250938152,redundant
19,355,169,1,-0.0054897258775302455,0.013897208386060192,-0.03272825431420822,0.021748802559147733,redundant
20,272,53,0,-0.011751826552897868,0.011324613851639308,-0.033948069702110915,0.010444416596315178,redundant
21,246,209,1,-0.005603483844410825,0.01044338547714653,-0.026072519379618023,0.014865551690796373,redundant
22,74,46,0,0.0030332974968755077,0.015708490674891197,-0.02775534422591124,0.033821939219662256,redundant
23,179,257,1,-8.795367894500195e-05,0.016374887720845513,-0.032182733611802204,0.032006826253912206,redundant
24,223,391,0,0.00022497641383016075,0.006924959032774486,-0.01334794329040783,0.013797896118068153,redundant
25,280,215,1,0.0,0.0021096288639376906,-0.004134872573317874,0.004134872573317874,redundant
26,436,49,0,-0.0023444484227233414,0.00924372488931856,-0.02046214920578772,0.015773252360341036,redundant
27,272,171,1,0.0002874829416953953,0.009919191555241255,-0.019154132506577465,0.019729098389968253,redundant
28,33,348,0,0.032566420409090066,0.026683526351671056,-0.019733291240185205,0.08486613205836534,redundant
29,147,250,1,-0.005187228121084682,0.02204987911815597,-0.04840499119267038,0.03803053495050102,redundant
30,236,153,0,-0.004338460051432973,0.007322783367767625,-0.018691115452257517,0.010014195349391571,redundant
31,366,191,1,0.0023690336040612936,0.01856211672523258,-0.03401271517739456,0.03875078238551715,redundant
32,364,408,0,-0.0026530285883889977,0.011290950649864212,-0.024783291862122855,0.019477234685344857,redundant
33,379,109,1,-0.008994734604891407,0.01684214903262359,-0.04200534670883364,0.024015877499050826,redundant
34,548,419,0,0.0007322342791167433,0.012347156539022318,-0.023468192537367,0.024932661095600484,redundant
