set,N_prompts,C,U,R,E,U_t,R_t,E_t,F
FULL,100,0.007913246698320177,0.059104126655122546,8.80025941773659,7.557453869891418,1.0,1.0,1.0,1.0
REFINED,1,1.1877781433258035e-06,0.029982249737606992,6.088559630030363,7.057111759715362,0.6202637303805867,0.0,0.0,0.6202637303805867
