step,Z_block_0,Z_block_1
1,-0.417446,-0.424064
2,-0.417057,-0.427403
3,-0.419333,-0.414759
4,-0.432328,-0.418172
5,-0.438953,-0.424265
6,-0.446908,-0.429168
