step,pred_iou,anch_mi,stab,unc_global,unc_boundary,iou_gt,dice_gt,d_pred,d_mi,d_stab,d_pred_ema,d_mi_ema,d_stab_ema
15,0.9014381170272827,-6.666231155395508,0.938327667827525,0.0034370608627796173,0.0034370608627796173,0.8617836056244107,0.9257613001005915,-0.0049988627433776855,0.04924201965332031,-0.003993034362792969,-0.0028673699125647545,0.025610703974962234,-0.0008927641320042312
16,0.8972901105880737,-6.670665740966797,0.9326264888739542,0.0036004737485200167,0.0036004737485200167,0.8525115714393707,0.9203846114461605,-0.004148006439208984,-0.0044345855712890625,-0.005701184272766113,-0.003379624802619219,0.01359258871525526,-0.0028161322697997093
17,0.8946437239646912,-6.640490531921387,0.925429519053883,0.003743966342881322,0.003743966342881322,0.8437983135889423,0.915282661200068,-0.0026463866233825684,0.030175209045410156,-0.007196962833404541,-0.003086329437792301,0.020225636661052704,-0.0045684645883738995
18,0.883108377456665,-6.455349922180176,0.9176402787236906,0.004223658237606287,0.004223658237606287,0.835132264091848,0.9101602979065163,-0.011535346508026123,0.18514060974121094,-0.007789254188537598,-0.006465936079621315,0.08619162440299988,-0.005856780335307121
19,0.8777834177017212,-6.656087398529053,0.9149256313600829,0.00443008029833436,0.00443008029833436,0.8317303588196401,0.908136238300493,-0.005324959754943848,-0.20073747634887695,-0.0027146339416503906,-0.0060095456428825855,-0.028580013662576675,-0.0045999218709766865
20,0.8742266893386841,-6.6399383544921875,0.9150304511810171,0.004619979299604893,0.004619979299604893,0.8317303588196401,0.908136238300493,-0.0035567283630371094,0.016149044036865234,0.00010484457015991211,-0.005028419196605682,-0.010688390582799911,-0.0027180153410881758
21,0.8739537000656128,-6.443545341491699,0.9168376162064904,0.0048041194677352905,0.0048041194677352905,0.8381983998633747,0.9119781628856541,-0.00027298927307128906,0.19639301300048828,0.0018071532249450684,-0.0031262473203241825,0.07214417308568954,-0.0009079479495994747
22,0.8700306415557861,-6.521974563598633,0.9135523381867408,0.005146828014403582,0.005146828014403582,0.8454651080074528,0.9162623604629413,-0.00392305850982666,-0.0784292221069336,-0.0032852888107299805,-0.0034449719823896885,0.011914815753698349,-0.0018588844686746597
23,0.8655965924263,-6.440871238708496,0.9067256164265703,0.005546700209379196,0.005546700209379196,0.8536102212196057,0.9210245082247792,-0.004434049129486084,0.08110332489013672,-0.0068266987800598145,-0.003840602934360504,0.03959021717309952,-0.0038460101932287216
24,0.8384613394737244,-6.525355339050293,0.8506693645154059,0.006524608004838228,0.006524608004838228,0.8561293257883406,0.9224888739093897,-0.027135252952575684,-0.08448410034179688,-0.05605626106262207,-0.01315846387296915,-0.01003950834274292,-0.02473011240363121
25,0.8187843561172485,-6.320898532867432,0.8350562260459806,0.008133787661790848,0.008133787661790848,0.8447490748155153,0.915841711317833,-0.01967698335647583,0.20445680618286133,-0.015613138675689697,-0.015765871852636337,0.07575901597738266,-0.021083323284983635
26,0.803860604763031,-6.444694519042969,0.879680966767329,0.011547367088496685,0.011547367088496685,0.8549675863108296,0.9218140442132405,-0.01492375135421753,-0.12379598617553711,0.04462474584579468,-0.015429023653268814,-0.004062984138727188,0.00519990362226963
27,0.806342363357544,-6.299072742462158,0.899828068207171,0.014561166055500507,0.014561166055500507,0.871485761901272,0.9313303682480767,0.0024817585945129395,0.14562177658081055,0.020147085189819336,-0.008264711126685143,0.055810920894145966,0.011178776621818542
28,0.7995431423187256,-6.395635604858398,0.8974736203594739,0.015600629150867462,0.015600629150867462,0.8653100470428209,0.9277921902738311,-0.006799221038818359,-0.09656286239624023,-0.002354443073272705,-0.007678515277802944,-0.0051385946571826935,0.005765489302575588
29,0.7919133305549622,-6.245049476623535,0.8952089860856127,0.016932981088757515,0.016932981088757515,0.8598808748918485,0.924662311979363,-0.007629811763763428,0.15058612823486328,-0.0022646188735961914,-0.007659033872187138,0.057151295244693756,0.0025534459855407476
30,0.7898138761520386,-6.3201117515563965,0.8888807984089666,0.018017778173089027,0.018017778173089027,0.8616275990826248,0.925671277657485,-0.002099454402923584,-0.07506227493286133,-0.006328225135803223,-0.005435202270746231,0.004265869036316872,-0.0009992223931476474
31,0.785233736038208,-6.315560817718506,0.8848539447309346,0.019065385684370995,0.019065385684370995,0.854278372057831,0.9214132947145088,-0.004580140113830566,0.004550933837890625,-0.004026830196380615,-0.005093177780508995,0.0043798950500786304,-0.00221026549115777
32,0.7823166251182556,-6.3688812255859375,0.8806615821056056,0.019951144233345985,0.019951144233345985,0.8448341710748328,0.9158917200483311,-0.0029171109199523926,-0.05332040786743164,-0.004192352294921875,-0.0042227511294186115,-0.01870022714138031,-0.003003100398927927
33,0.7778428792953491,-6.287510871887207,0.8821807847189657,0.02033432386815548,0.02033432386815548,0.8466295799978467,0.9169457580104765,-0.004473745822906494,0.08137035369873047,0.0015192031860351562,-0.004323149099946022,0.021328004077076912,-0.0011941790580749512
