step,Z_block_0,Z_block_1
1,-6.785510,-6.775174
2,-6.755758,-6.767168
3,-6.706267,-6.705485
4,-6.660038,-6.660657
5,-6.690905,-6.664200
6,-6.746757,-6.708371
7,-6.741924,-6.720325
8,-6.754332,-6.745448
9,-6.740850,-6.688030
10,-6.770586,-6.682539
11,-6.680281,-6.653701
