step,Z_block_0,Z_block_1
1,-6.807627,-6.813864
2,-6.798743,-6.810280
3,-6.804606,-6.810215
4,-6.811340,-6.802685
5,-6.821159,-6.792726
6,-6.833591,-6.801379
7,-6.825851,-6.804529
8,-6.824835,-6.791393
9,-6.834487,-6.802096
10,-6.825882,-6.809561
11,-6.813409,-6.802168
