step,Z_block_0,Z_block_1
1,0.658084,0.639730
2,0.657134,0.647805
3,0.622434,0.652887
4,0.648248,0.652993
5,0.654463,0.644193
6,0.611908,0.629525
7,0.627024,0.653388
8,0.611012,0.655829
9,0.622606,0.635094
10,0.634060,0.628075
11,0.641563,0.658286
