step,Z_block_0,Z_block_1
1,0.636940,0.650967
2,0.654600,0.647369
3,0.635731,0.655733
4,0.629840,0.639800
5,0.652351,0.660439
6,0.616036,0.630904
7,0.632874,0.647727
8,0.627535,0.618549
9,0.605577,0.654995
10,0.643545,0.638294
11,0.591639,0.645587
