step,Z_block_0,Z_block_1
1,4.284783,3.511500
2,4.326439,4.538687
3,3.237804,3.957516
4,4.270115,3.867719
5,4.230190,3.916085
6,4.680543,3.036880
7,4.492041,4.561669
8,4.376959,3.459497
9,4.529061,4.589882
10,4.220816,4.447959
11,4.070968,3.750000
