step,Z_block_0,Z_block_1
1,-1.063174,-1.069601
2,-0.951621,-1.068196
3,-0.939815,-1.064022
4,-0.978664,-1.072503
5,-1.027825,-1.159073
6,-0.999675,-1.100907
7,-1.049605,-1.341370
8,-1.061072,-1.114831
9,-1.070267,-1.129267
10,-1.060132,-1.097361
11,-1.091969,-1.111229
